S/N,MTANDAO,GENDER,MARITAL_STATUS,DEPENDENTS,AGE,UNIVERSITY,DEGREE,EARNINGS,REGISTRATION,LOAN_BOARD,PAST_FREQUENCY,FUTURE_FREQUENCY,PROBLEM_SOLVING,EXCEPTIONAL_SERVICE_EXPERIENCE,VALUE_FOR_MONEY,PRICE_COMPARISON,WIDE_COVERAGE,CALL_DROPS,STRONG_SIGNALS,FREE_COMPLAINTS,SHARE_NEGATIVE_EXPERIENCE,HIGH_SWITCHING_COST,REDUCE_TRANSACTIONS,USUALLY_SWITCH_PROVIDERS,GET_THROUGH,DO_WHAT_THEY_SAY,TIMELY_EFFECTIVE_COMPLAINTS,HIGH_SWITCHING_ENERGY_TIME,FUTURE_TRANSACTIONS,LOYAL,FIRST_CHOICE
1432,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2021,0,12,11,SD,F,SD,A,F,SD,D,F,A,SD,F,D,F,A,F,D,F,A,A
1433,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,0,12,10,SD,SA,F,SA,SD,SA,SD,SD,A,SA,SD,A,A,F,D,SD,A,SA,A
1434,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,0.4,15,11,SD,SA,SD,SA,SD,SA,SD,A,A,A,A,SA,A,A,A,A,SA,SA,SA
1435,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,1,48,3,SD,SD,F,A,A,SD,A,A,A,A,SD,SD,A,A,A,A,A,A,A
1436,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,1,30,42,SD,D,F,D,A,D,F,D,D,F,F,A,D,F,F,A,A,A,SA
1437,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,1,9,12,SD,F,F,SD,SD,SD,SD,D,SD,A,SD,A,F,SA,F,SD,D,SA,D
1438,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2015,0.39,9,9,SD,A,D,SD,D,D,F,F,A,A,F,D,A,A,F,SD,A,A,SA
1439,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,0,4,4,SD,A,SA,SA,D,F,D,D,A,F,SA,SA,A,F,A,A,D,D,F
1440,HALOTEL,MALE,SINGLE,3 TO 4,18-35,SJUT,BACHELOR,BELOW 450000,2010,1,93,93,D,A,A,A,D,F,SD,F,F,F,F,A,D,F,D,D,A,A,A
1441,TIGO,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2016,0,12,12,D,A,D,D,A,A,D,A,A,A,A,D,A,A,A,D,A,A,A
1442,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,450000-1000000,2016,0.32,18,30,F,SD,SD,SA,SD,SD,SD,SD,SA,SD,SD,SA,SD,SD,SD,SD,SD,SA,SD
1443,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2021,0.5,5,5,SD,SA,SD,SA,SA,SD,A,A,SA,A,A,F,A,A,SD,F,F,F,F
1444,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2014,0.5,52,16,SD,A,F,SA,SD,F,A,F,F,SA,SA,SA,SA,SA,D,SD,F,SA,SA
1445,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,0,5,4,D,SD,SD,SD,D,D,D,SD,D,D,A,SA,SD,SA,SA,SA,F,F,F
1446,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,0,15,15,D,A,D,A,D,A,D,F,D,A,A,A,A,A,A,D,A,D,A
1447,AIRTEL,MALE,MARRIED,MORE THAN 4,18-35,SJUT,BACHELOR,450000-1000000,2008,0,3,3,D,SA,SA,SA,SA,F,D,F,A,F,A,A,A,A,F,F,F,F,F
1448,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,1,6,5,D,F,SA,F,D,F,F,F,F,A,F,F,SD,F,F,SD,F,F,F
1449,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,0.4,12,22,D,SA,SA,A,SD,SA,SD,SD,A,SD,SA,D,SD,SD,SD,SA,A,SA,SA
1450,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,0,47,34,SD,A,F,F,SD,D,SD,A,SA,F,F,SA,A,A,SA,SA,A,SA,SA
1451,TIGO,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,0.4,5,3,SA,SD,SD,SA,SA,SA,SD,SD,SD,SD,D,SD,SA,SD,D,SD,D,SA,SA
1452,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,0,30,36,SD,F,,A,SA,A,A,A,F,A,D,SD,SA,F,F,F,A,SA,SA
1453,VODA,FEMALE,SINGLE,3 TO 4,18-35,SJUT,BACHELOR,BELOW 450000,2021,0.4,24,24,SD,SD,D,A,D,D,A,SD,SA,F,D,D,F,SD,F,D,A,F,SA
1454,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2023,0.39,28,27,D,A,F,SA,D,SA,SD,F,A,F,A,A,F,F,F,A,F,F,F
1455,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,ABOVE 1000000,2020,1,9,9,SD,A,SD,SA,SD,A,SD,SA,SD,SD,F,SD,SA,SA,SA,SD,SA,SA,SA
1456,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,0.45,12,12,D,D,SD,SD,SD,SA,SD,SA,SA,SA,SD,SA,SD,A,SD,A,D,D,SA
1457,TIGO,FEMALE,SINGLE,,18-35,SJUT,BACHELOR,450000-1000000,2022,0.7,3,12,D,SA,SD,SA,SD,SD,SD,D,A,A,A,SA,A,A,SD,SD,D,A,SA
1458,AIRTEL,FEMALE,SINGLE,3 TO 4,18-35,SJUT,BACHELOR,BELOW 450000,2021,0.6,7,13,A,A,D,SD,D,D,D,D,A,SA,A,F,SA,SA,D,SA,,F,D
1459,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,0,3,1,A,D,A,D,D,A,D,SD,A,D,A,A,D,D,SD,,D,A,D
1460,TIGO,FEMALE,SINGLE,,18-35,SJUT,BACHELOR,BELOW 450000,2022,0.39,9,9,SD,F,SD,F,F,SA,A,A,SD,D,,D,A,A,A,A,SA,A,F
1461,VODA,MALE,SINGLE,MORE THAN 4,18-35,SJUT,BACHELOR,450000-1000000,2017,1,12,12,SD,A,A,A,SA,SD,D,A,D,D,D,A,A,A,A,A,F,F,A
1462,VODA,MALE,SINGLE,3 TO 4,18-35,SJUT,BACHELOR,BELOW 450000,2016,1,24,24,SD,A,SD,A,SD,SD,D,F,SD,F,A,D,D,F,SD,F,SD,D,F
1463,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2014,1,6,6,SA,SA,F,F,SD,F,SD,SD,A,A,A,SD,F,F,F,F,SD,F,F
1464,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,,0.8,4,4,SD,A,SA,SA,D,D,SD,D,D,D,A,D,D,F,SD,A,A,A,D
1465,AIRTEL,MALE,SINGLE,0 TO 2,,SJUT,BACHELOR,BELOW 450000,2017,0.96,5,8,SD,F,F,F,F,SD,F,F,SA,F,D,SA,SA,,D,F,F,F,F
1466,HALOTEL,MALE,SINGLE,,18-35,SJUT,BACHELOR,ABOVE 1000000,2017,0.66,48,63,D,A,D,D,D,D,D,A,A,A,D,D,A,A,A,A,A,A,A
1467,VODA,FEMALE,SINGLE,MORE THAN 4,18-35,SJUT,BACHELOR,BELOW 450000,2016,0.6,5,3,SD,A,SA,F,F,SD,F,F,A,F,F,F,D,F,D,F,D,D,A
1468,TIGO,FEMALE,SINGLE,MORE THAN 4,36-50,SJUT,BACHELOR,450000-1000000,2000,0,12,93,SD,D,F,D,SD,D,SD,SD,SA,SA,F,SD,SD,D,SD,SA,SA,SA,SA
1469,AIRTEL,FEMALE,MARRIED,MORE THAN 4,36-50,SJUT,BACHELOR,450000-1000000,2013,0,6,6,SD,F,A,SA,A,SA,SD,F,SA,F,A,SA,D,A,F,SA,A,A,F
1470,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,1,67,72,SD,F,F,D,F,A,F,A,A,F,D,F,SA,SA,A,SA,SA,SA,A
1471,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2014,0,15,6,SD,D,A,SD,A,SD,SD,SD,A,D,A,A,SD,A,F,SA,A,SD,A
1472,VODA,FEMALE,SEPARATED,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,1,18,9,SD,F,SD,D,F,A,A,D,SA,SD,A,SD,D,F,A,A,SD,SA,D
1473,AIRTEL,MALE,MARRIED,MORE THAN 4,18-35,SJUT,BACHELOR,BELOW 450000,2012,0,3,3,SA,SA,A,SA,D,F,A,F,SA,A,A,SA,A,SA,A,SD,F,F,A
1474,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,450000-1000000,2020,1,14,3,SD,SD,F,D,SD,SA,D,F,A,A,SD,SD,SA,SA,A,A,SA,SA,SA
1475,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,,2015,1,12,12,SD,A,A,A,SD,SD,SD,SD,A,SD,D,A,D,A,D,A,A,A,SD
1476,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,0.75,12,13,SD,A,SD,SA,F,F,A,F,A,D,A,A,F,A,A,A,D,F,F
1477,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,0.8,52,36,D,SA,A,A,D,D,D,F,A,F,A,A,A,F,F,F,D,F,F
1478,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,ABOVE 1000000,2020,1,21,24,SD,SA,D,A,A,D,D,A,F,SA,A,A,A,D,D,A,D,A,A
1479,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,0,11,14,F,SA,A,F,SA,SD,SA,A,SD,F,SA,F,SA,SA,A,SA,SA,SA,A
1480,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2013,0,10,14,D,A,F,SD,A,SD,F,A,SA,A,F,SD,SA,SA,A,A,A,F,A
1481,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,1,24,10,A,SA,A,SA,A,SA,SD,,F,A,SA,D,SA,D,SA,A,SA,,SA
1482,VODA,MALE,SINGLE,MORE THAN 4,18-35,SJUT,BACHELOR,BELOW 450000,2020,,40,8,D,SA,SD,SA,D,D,A,SD,SA,D,A,A,SA,D,,SD,A,SD,A
1483,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,0.6,,,F,F,F,A,F,F,D,D,F,F,F,F,F,D,D,D,D,F,F
1484,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,450000-1000000,2019,0,12,9,D,SD,F,SD,SD,F,SD,SD,D,SD,F,SD,A,F,SD,D,SD,A,F
1485,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,,30,3,A,F,D,A,F,D,F,F,A,F,D,A,A,F,A,A,A,A,F
1486,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,1,18,18,D,SA,SD,SD,D,SD,F,A,SD,A,SD,F,A,SA,SA,SA,SA,SA,SA
1487,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,0,7,5,SD,A,F,D,F,D,A,,A,D,A,D,F,SA,A,SA,A,SA,F
1488,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2013,0.8,90,90,SD,A,SA,SA,F,F,F,F,A,D,F,SA,SD,SA,F,SD,F,F,F
1489,AIRTEL,FEMALE,SINGLE,0 TO 2,,SJUT,BACHELOR,BELOW 450000,2017,,90,90,SD,SA,F,F,D,F,D,F,A,F,F,A,F,A,A,A,A,A,A
1490,VODA,FEMALE,MARRIED,3 TO 4,18-35,SJUT,BACHELOR,450000-1000000,2017,0,18,16,D,A,A,A,SD,D,SD,F,A,A,D,D,D,A,SA,SA,F,A,SA
1491,AIRTEL,FEMALE,MARRIED,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2021,1,70,60,A,A,SA,SD,SA,SD,D,SA,SA,SA,F,SA,SA,SA,SA,SA,SA,SA,SA
1492,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,ABOVE 1000000,2009,0,32,32,SD,SA,F,SA,D,SD,SD,A,A,A,SA,A,A,SA,A,A,A,A,A
1493,VODA,MALE,MARRIED,0 TO 2,18-35,SJUT,BACHELOR,ABOVE 1000000,2014,0,3,3,SD,SA,F,SA,D,SD,SD,A,A,A,SA,A,A,SA,A,A,A,A,A
1494,TIGO,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,0,8,9,SD,F,D,F,SD,F,SD,SD,SD,F,SA,F,SD,F,SD,F,F,F,F
1495,HALOTEL,MALE,MARRIED,0 TO 2,18-35,SJUT,BACHELOR,ABOVE 1000000,2021,1,14,16,F,A,F,A,,F,A,A,F,D,A,D,F,A,SA,F,A,SD,A
1496,HALOTEL,FEMALE,MARRIED,MORE THAN 4,18-35,SJUT,BACHELOR,BELOW 450000,2023,1,70,26,SD,A,SD,SA,D,SD,D,D,A,A,A,A,SA,A,A,A,D,F,F
1497,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,0,7,3,SD,F,SA,A,SD,F,SD,F,SA,F,SA,SD,SD,F,F,SA,SD,F,F
1498,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2017,0,21,18,D,A,F,D,A,D,SA,F,F,F,SD,SD,F,F,F,D,D,SA,SA
1499,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,1,9,3,SD,F,SD,,F,D,D,F,A,F,A,A,F,A,A,A,A,A,A
1500,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,1,20,8,SD,A,F,F,D,F,D,F,A,D,A,D,D,D,F,SA,A,A,A
1501,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,,2022,,90,90,SA,SA,A,A,SD,D,D,A,A,SD,F,SD,A,A,A,D,D,A,A
1502,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,,2023,0,13,17,SD,A,SA,SA,A,D,,A,SD,SA,SD,SA,SD,SA,A,A,A,A,SA
1503,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,0,13,19,D,A,SD,D,SD,D,SD,D,SD,SD,A,D,SD,SA,SD,F,F,A,SD
1504,TIGO,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,,6,6,D,F,F,F,D,D,F,D,F,D,D,D,D,F,SD,A,D,F,F
1505,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,,,,27,21,A,D,A,SA,F,D,,D,SA,,F,D,D,A,SA,SA,D,D,SD
1506,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,,2023,0,,,SD,D,A,D,SD,SD,A,SD,SD,A,SD,SD,SD,A,A,A,A,A,A
1507,TIGO,FEMALE,,0 TO 2,18-35,SJUT,BACHELOR,,2021,,90,90,SD,SD,SD,A,SD,D,A,SD,SA,SD,D,A,SA,SA,SA,SA,SA,SA,SA
1508,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,,2020,0,6,21,SD,A,F,SA,F,D,SA,F,D,SA,D,SA,D,SA,F,D,SA,F,F
1509,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,,2021,0,11,13,F,D,D,F,D,D,D,A,D,SD,D,SD,D,A,D,,A,SA,A
1510,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,450000-1000000,2023,0,20,30,SD,SD,SD,D,SA,F,D,SD,F,D,SD,SD,SA,F,F,SA,SA,SA,SA
1511,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,,,18,,F,F,D,A,D,SA,SD,D,SD,D,F,F,F,A,F,F,F,F,A
1512,HALOTEL,FEMALE,SINGLE,MORE THAN 4,18-35,SJUT,BACHELOR,BELOW 450000,2019,0.5,3,3,SD,A,SD,D,D,D,SD,SD,D,SD,D,D,D,D,D,A,D,SA,A
1513,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SJUT,BACHELOR,BELOW 450000,2019,0.2,3,3,D,SD,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA
1514,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,1,3,3,D,A,SD,D,D,D,SD,SD,D,A,A,A,A,D,D,A,A,F,SA
1515,TIGO,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,0.85,36,9,A,F,F,F,D,F,D,F,SA,F,A,A,F,A,F,SA,F,A,A
1516,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2022,,21,21,SA,F,SA,SA,SA,SA,A,SD,SA,A,SA,SA,SD,F,A,SA,A,SA,A
1517,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,0.5,6,6,A,A,A,A,D,D,A,D,A,A,SD,A,D,D,A,A,A,A,SA
1518,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2009,0.7,10,5,D,F,F,A,SA,SA,D,SD,F,SD,SA,SA,D,SD,D,SA,D,F,F
1519,VODA,MALE,MARRIED,3 TO 4,18-35,SJUT,BACHELOR,BELOW 450000,,1,9,9,SD,A,SD,SD,SD,SD,SD,A,F,F,SD,F,A,F,F,SD,F,F,SD
1520,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,ABOVE 1000000,2022,0.8,18,18,SD,A,D,A,D,D,D,F,A,A,A,A,A,A,A,SD,F,F,D
1521,HALOTEL,MALE,SINGLE,MORE THAN 4,18-35,SJUT,BACHELOR,BELOW 450000,2023,1,31,45,A,A,SA,D,SD,SD,D,SA,SD,SA,D,SA,SA,A,A,SA,SA,SA,SA
1522,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,1,6,5,D,A,D,SA,SA,A,F,A,A,A,D,F,SA,SD,F,SD,F,SA,A
1523,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,1,18,21,D,SA,SD,A,D,A,SA,D,A,SA,F,A,SA,SD,F,A,SD,F,F
1524,AIRTEL,MALE,MARRIED,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2021,1,13,14,A,D,F,A,A,D,SD,D,A,A,SD,SD,D,SA,A,SA,SD,A,A
1525,HALOTEL,MALE,SINGLE,MORE THAN 4,18-35,SJUT,BACHELOR,BELOW 450000,2021,1,25,23,A,F,F,D,F,F,F,A,A,A,F,A,A,A,A,A,F,SA,SA
1526,HALOTEL,MALE,SINGLE,3 TO 4,18-35,SJUT,BACHELOR,BELOW 450000,2021,1,6,13,A,F,D,F,D,SD,SD,D,F,SD,F,D,A,A,F,SA,F,A,D
1527,TIGO,FEMALE,SINGLE,MORE THAN 4,18-35,SJUT,BACHELOR,ABOVE 1000000,2009,0,48,48,D,A,F,F,A,D,A,F,A,A,A,A,A,F,A,A,F,A,A
1528,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2017,1,27,15,D,D,D,D,SD,SD,SD,SD,A,F,A,A,F,F,F,A,D,D,F
1529,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,1,15,16,F,A,F,D,D,D,SD,F,D,F,D,A,F,F,A,A,D,F,A
1530,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2015,1,4,6,SD,F,F,F,D,D,F,F,A,A,A,A,F,F,A,SA,F,F,F
1531,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,1,16,10,SD,A,D,SD,F,SD,F,SA,SD,D,F,SD,A,A,SD,A,SA,SA,SA
1532,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2020,1,26,18,D,A,F,F,A,D,A,A,F,A,D,F,F,F,F,A,A,A,A
1533,AIRTEL,FEMALE,MARRIED,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2023,0,16,57,SD,D,SD,SD,D,D,F,SD,A,SD,D,F,F,SD,D,SD,D,F,SD
1534,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2016,0,10,21,A,A,A,A,D,D,D,D,A,F,D,D,F,A,D,A,D,A,A
1535,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,,17,26,SD,A,F,F,SA,SD,D,SD,A,D,A,SD,F,D,F,F,A,A,A
1536,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2015,0,6,6,SD,F,A,F,A,A,D,D,D,F,A,A,A,SD,F,A,A,A,F
1537,TIGO,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,1,3,3,SA,SA,SD,F,SD,SD,A,A,SA,A,F,F,A,SA,A,F,A,SD,SA
1538,VODA,MALE,SINGLE,3 TO 4,18-35,SJUT,BACHELOR,BELOW 450000,2010,1,180,180,A,A,D,A,A,,D,SD,D,A,F,A,A,D,F,SD,D,F,A
1539,VODA,MALE,SINGLE,MORE THAN 4,18-35,SJUT,BACHELOR,BELOW 450000,2018,0.9,17,22,D,A,D,A,A,D,A,A,A,SA,D,A,A,A,A,A,A,A,A
1540,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2021,0.5,15,15,A,F,SA,A,A,SA,D,F,A,F,A,A,D,F,F,D,F,F,F
1541,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2012,,6,9,A,SD,SD,SD,SA,A,SD,D,SD,SA,SD,SA,SA,SA,SA,SA,SA,,A
1542,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2018,0.75,21,28,SD,SD,SA,D,D,SD,SA,SA,SA,A,SA,D,,F,F,A,A,A,SA
1543,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2016,1,20,18,A,SA,SA,F,D,F,F,F,A,F,SA,SA,F,F,D,F,F,D,SA
1544,TIGO,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2014,,4,4,A,A,A,A,A,A,SD,D,A,SD,SD,SD,A,A,SD,D,A,D,A
1545,TIGO,FEMALE,SINGLE,0 TO 2,,SJUT,BACHELOR,BELOW 450000,2023,,63,9,F,F,F,SA,SD,SD,SD,SD,A,SD,F,F,SD,F,F,A,F,F,F
1546,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,450000-1000000,2021,0,3,3,SD,D,D,,D,SD,D,F,SD,F,D,SD,D,A,F,D,SD,F,F
1547,VODA,FEMALE,MARRIED,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2014,,70,70,D,A,D,SD,SA,F,D,A,SD,SA,F,D,A,D,F,D,A,SD,F
1548,VODA,MALE,SINGLE,3 TO 4,18-35,SJUT,BACHELOR,BELOW 450000,2010,0,8,12,SD,SA,SD,F,D,SA,D,F,A,SD,SA,SA,A,SD,A,A,A,F,SA
1549,VODA,MALE,SEPARATED,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2016,0.5,3,3,SD,A,A,F,SA,A,F,F,A,SD,A,SA,A,F,D,A,SD,SD,SD
1550,VODA,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2014,0.5,21,15,SD,SD,SA,A,D,D,D,D,F,SD,SD,SD,D,A,F,F,SD,A,F
1551,TIGO,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2015,1,90,90,SD,SD,SD,D,F,F,A,A,A,SD,F,D,A,SD,F,SD,F,SD,F
1552,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2021,0,4,4,SD,SD,D,D,F,A,D,A,SA,D,D,A,SA,A,F,F,A,D,A
1553,VODA,MALE,SINGLE,,18-35,SJUT,BACHELOR,BELOW 450000,2018,,75,58,SA,SD,SD,D,D,SD,D,,SD,D,SD,SD,SD,D,SD,SD,D,SD,D
1554,HALOTEL,MALE,SINGLE,,18-35,SJUT,BACHELOR,BELOW 450000,2018,0.5,48,65,SA,SD,SD,D,D,SD,D,,SD,D,SD,SD,SD,D,SD,SD,D,SD,D
1555,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,,2022,0,10,19,SA,SD,SD,D,SD,D,,,SD,D,SD,SD,SD,D,SD,SD,D,SD,D
1556,HALOTEL,MALE,MARRIED,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2021,0.7,10,13,SD,A,SD,A,A,D,A,D,SA,D,D,D,A,SD,SA,SA,SD,SD,SA
1557,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,0.75,7,8,SD,SA,SD,SA,SD,F,F,SD,SA,F,SA,A,SA,A,SA,SA,A,F,SA
1558,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2016,0.25,12,13,D,A,D,A,SD,D,SD,SD,D,F,SA,SA,SD,F,SD,SA,SD,F,A
1559,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,0.4,12,12,SD,D,D,F,D,,D,D,F,F,D,F,F,F,F,F,F,D,F
1560,TIGO,MALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,,,12,12,SD,A,F,F,SD,F,SD,D,F,F,SA,A,A,A,SA,F,D,F,F
1561,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJUT,BACHELOR,BELOW 450000,2019,0.75,12,8,SD,SA,A,SA,SD,SD,A,F,A,SD,A,SD,F,D,D,D,D,SA,A
1562,AIRTEL,FEMALE,SINGLE,,18-35,SJUT,BACHELOR,,2020,1,,,D,D,D,F,A,F,D,D,A,D,D,A,D,D,D,D,F,A,A
